"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1754566017022669057","Wed Feb 07 07:11:55 +0000 2024","0","@kucurht Kebanyakan orang miskin tuh gak sekolah Tapi program makan siang gratis tuh untuk anak sekolah Jadi gimana dong solusinya? Kenapa gak bikin kebijakan yg bisa membantu orang miskin agar mampu beli makanan sendiri tanpa dikasih gratis?","1755127230794194954","","kucurht","in","","0","0","0","https://x.com/undefined/status/1755127230794194954","1652108966833577987",
"1754712462526750880","Wed Feb 07 04:10:40 +0000 2024","0","@littlebyfeb @raffimulyaa Kebijakan itu harus merata manfaatnya untuk rakyat apa dgn makan siang gratis untuk anak2 sekolah itu ga akan ada yg mubazir makanannya? Dan juga dipikirin ga apakah ada dampak buruk nanti? Karna sering terjadi disekolahan anak2 keracunan makanan!","1755081617285263707","","Rannnnn97","in","","0","0","0","https://x.com/undefined/status/1755081617285263707","1147551863639666688",
"1751986054062817764","Tue Jan 30 00:39:56 +0000 2024","0","@detikcom Ngapain sih makan siang gratis? Lebih baik lu buat kebijakan agar setiap keluarga mampu membeli aja bikin harga pangan murah tingkatan kesejahteraan masyarakat. Yakin gak semuanya bakal pada makan itu makanan? Yakin gak makanan yg di bagi2 juga bergizi? Hadeh..","1752129483442970924","","detikcom","in","","0","0","0","https://x.com/undefined/status/1752129483442970924","1514950149482889219",
"1741728782602719670","Mon Jan 01 07:51:16 +0000 2024","0","Kalau program makan siang gratis Prabowo-Gibran bisa se-'acak' kebijakan mereka mungkin udah banyak yang kecipratan makanan gratis. @sellh67 https://t.co/zh2fo82cLI","1741728782602719670","","","in","","0","0","0","https://x.com/undefined/status/1741728782602719670","1688796906657660928",
"1741724427103121553","Mon Jan 01 07:33:57 +0000 2024","0","Infrastruktur lapangan kerja dan sekarang makan siang gratis. Prabowo beneran deh jangan cuma bikin kebijakan bikin menu makanan juga. @sonysulistyono https://t.co/v5X1udXiTW","1741724427103121553","","","in","","0","0","0","https://x.com/undefined/status/1741724427103121553","1681648214406217734",
"1739648064787513599","Wed Dec 27 01:44:32 +0000 2023","0","@Fahrihamzah Menghemat ya jangan pilih y korupt sehematnya biya pemilu lebih bahaya pemimpin korupt. Kebijakan di korupt lebih sadis untik kesejahtraan rakyat. Kami g butuh makan gratis kami butuh kemampuan belnja makanan kami sendiri kami mau bebas memilih makan siang kami.","1739824553776628130","","Fahrihamzah","in","","0","0","0","https://x.com/undefined/status/1739824553776628130","112682222",
"1738192344128860351","Fri Dec 22 17:08:48 +0000 2023","0","@yosafat_tbn @elisa_jkt Kebijakan Kesejahteraan Sosial: Contohnya Makan Siang Gratis atau Program Bantuan Pangan. Pemerintah menyediakan bantuan langsung kepada masyarakat memberikan dukungan kepada individu atau kelompok yang membutuhkan mirip dengan memberikan makanan langsung kepada mereka.","1738245212982685952","","mauu_ll","in","","0","1","0","https://x.com/undefined/status/1738245212982685952","1542101312082391040",
"1737765452393467926","Thu Dec 21 09:22:24 +0000 2023","0","Makan siang gratis dari Prabowo-Gibran? Lebih mendingan makanan gratis dari kebijakan bijak @mamad_kuncoro https://t.co/xaCR9XAW4N","1737765452393467926","","","in","","0","0","0","https://x.com/undefined/status/1737765452393467926","1684838549697548288",
"1737765425717682537","Thu Dec 21 09:22:18 +0000 2023","0","Makan siang gratis dari Prabowo-Gibran? Lebih mendingan makanan gratis dari kebijakan pintar @mak_beto https://t.co/IgmtdxeeSB","1737765425717682537","","","in","","0","0","0","https://x.com/undefined/status/1737765425717682537","1684474572865937408",
"1737750298205225234","Thu Dec 21 08:22:11 +0000 2023","0","Mau makan siang gratis tapi kebijakan kerja gimana nih Pak? Jangan makanan doang yang diperhatiin masa kerja juga penting kan? @IrdaDa3 https://t.co/5mBYg7bKYg","1737750298205225234","","","in","","0","0","0","https://x.com/undefined/status/1737750298205225234","1686253892835930112",
"1728186820280938577","Sat Nov 25 23:06:21 +0000 2023","1","@panca66 @prabowo @gibran_tweet Kebijakan gratis mkn siang dan minum susu pernah terjadi ± 70 thn lalu bahkan dulu disertai dengan sepotong kain setahun sekali minyak tanah dan sembako seminggu sekali karena besarnya beaya lama² mkn hilang beras diganti burgul/burgur (makanan kuda).","1728550720037920954","","panca66","in","","0","0","0","https://x.com/undefined/status/1728550720037920954","1503731958265761798",
"357197544780083201","Tue Jul 16 17:58:25 +0000 2013","0","Delapan Murid India Tewas Keracunan Makanan: Makan siang gratis merupakan kebijakan yang diterapkan bagi para ... http://t.co/q5GfJb08R4","357197544780083201","","","in","","0","0","0","https://x.com/undefined/status/357197544780083201","1378702838",
